action_id,menu_path,keyboard,context_menu,tool_class,bridge_method,wasm_export,category,discoverability,status,notes
array-linear,Modeling > Deformation > Array Linear,,선형 배열 복제,,arrayLinearFaces,arrayLinearFaces,array-mirror,3,OK,Wired through ToolManager.executeAction
array-radial,Modeling > Deformation > Array Radial,,원형 배열 복제,,arrayRadialFaces,arrayRadialFaces,array-mirror,3,OK,
assign-quick-color,Modeling > Organic > Quick Color,,색상 지정,,(MaterialLibrary),(none),material,3,OK,Bridge bypassed — uses MaterialLibrary callback
bend-selection,Modeling > Deformation > Bend,,,,bendVerts+getFaceVertices+getEdgeEndpoints,bendVerts,transform,2,OK,
bool-intersect,Modeling > Boolean > Intersect,,,,booleanOp,boolean_op,boolean,2,OK,Via BooleanHandler
bool-subtract,Modeling > Boolean > Subtract,,,,booleanOp,boolean_op,boolean,2,OK,Via BooleanHandler
bool-union,Modeling > Boolean > Union,,,,booleanOp,boolean_op,boolean,2,OK,Via BooleanHandler
chamfer-edge,Modeling > Edge Tools > Chamfer,,엣지 모따기,,filletEdge,filletEdge,fillet-chamfer,3,OK,Reuses fillet with segments=1
clash-clear,View > Analysis > Clash Clear,,,,(none),(none),debug,1,UI-ONLY,View overlay clearing
clash-detect,View > Analysis > Clash Detection,,,,(ClashDetection),(none),debug,1,OK,Lazy import in MenuBar:473
clipboard-copy,Edit > Copy,Ctrl+C,,,(Clipboard),(none),clipboard,2,OK,Pure JS clipboard
clipboard-cut,Edit > Cut,Ctrl+X,,,batchDelete,batch_delete,clipboard,2,OK,Copy then delete
clipboard-paste,Edit > Paste,Ctrl+V,,MoveTool,arrayLinearFaces+MoveTool.startPlacement,arrayLinearFaces,clipboard,2,OK,Chains to MoveTool
constrain-collinear,,,엣지 동일 선상 정렬,,(ConstraintCommands),(none),constraint,1,OK,Via ConstraintCommands handler
constrain-edge-length,,,엣지 길이 설정,,addDistanceConstraint,addDistanceConstraint,constraint,1,OK,
constrain-endpoint-distance,,,끝점 거리 고정,,addDistanceConstraint,addDistanceConstraint,constraint,1,OK,
constrain-parallel,,,엣지 평행 정렬,,(ConstraintCommands),(none),constraint,1,OK,Via ConstraintCommands handler
constrain-perpendicular,,,엣지 수직 정렬,,(ConstraintCommands),(none),constraint,1,OK,Via ConstraintCommands handler
convert-to-centerline,Modeling > Edge Tools > Centerline Convert,,중심선으로 변환,,setEdgeClass,setEdgeClass,edge-curve,3,OK,
convert-to-geometry,Modeling > Edge Tools > Geometry Convert,,일반선으로 변환,,setEdgeClass,setEdgeClass,edge-curve,3,OK,
delete,Edit > Delete,Del,삭제,,batchDelete+deleteFace+deleteEdge,batch_delete,topology,3,OK,Atomic batch with fallback
deselect,Edit > Deselect,Esc,선택 해제,,(none),(none),selection,3,OK,Pure UI
duplicate,Edit > Duplicate,Ctrl+D,,MoveTool,arrayLinearFaces+MoveTool.startPlacement,arrayLinearFaces,clipboard,2,OK,Chains to MoveTool
export-dxf,File > Export > DXF,,,,(DxfWriter),(none),serialization,1,OK,TS-side writer (no WASM call)
export-gltf,File > Export > glTF,,,,(GLTFExporter),(none),serialization,1,OK,Three.js exporter
export-iges,File > Export > IGES (DISABLED),,,,(none),(none),serialization,1,PLACEHOLDER,Engine path missing
export-obj,File > Export > OBJ,,,,(OBJExporter),(none),serialization,1,OK,Three.js exporter
export-step,File > Export > STEP (DISABLED),,,,(none),(none),serialization,1,PLACEHOLDER,Engine path missing
export-stl,File > Export > STL,,,,(STLExporter),(none),serialization,1,OK,Three.js exporter
file-new,File > New,Ctrl+N,,,(reset state),(none),serialization,2,OK,
file-open,File > Open,Ctrl+O,,,importSnapshot,import_snapshot,serialization,2,OK,
file-save,File > Save,Ctrl+S,,,exportSnapshot,export_snapshot,serialization,2,OK,
file-saveas,File > Save As,Ctrl+Shift+S,,,exportSnapshot,export_snapshot,serialization,2,OK,
fillet-edge,Modeling > Edge Tools > Fillet,,엣지 모깎기,,filletEdge,filletEdge,fillet-chamfer,3,OK,segments=8 default
flip-faces,Modeling > Organic > Flip Faces,Shift+N,면 반전,,flipFaces+isFaceInVolume,flipFaces,merge-flip,3,OK,Wall-only (Sheet skipped)
format-osnap,Format > OSNAP Settings,F3,,,(OsnapPanel),(none),settings,2,OK,Toggles panel
format-style,Format > Style,,,,(StylePanel),(none),settings,1,OK,Toggles panel
format-units,Format > Units,,,,(SettingsPanel),(none),settings,1,OK,Toggles panel
group,Modeling > Group > Group,Ctrl+G,그룹 만들기,GroupTool,createGroup OR (selection.groupSelected),create_group,group,3,OK,GroupTool primary path
group-edit,,,그룹 편집,GroupTool,(GroupTool.enterGroupEdit),(none),group,1,OK,Context-only
group-hide,,,그룹 숨기기,,toggleGroupVisibility,toggle_group_visibility,group,1,OK,
group-lock,,,그룹 잠금,,toggleGroupLock,toggle_group_lock,group,1,OK,
help-about,Help > About,,,,(none),(none),help,1,OK,Modal
